datetime,open,high,low,close,volume,prev_close,daily_return,overnight_gap,intraday_return,high_above_prev_close,low_below_prev_close,threshold_68,below_threshold_68,breach_depth_68,upside_threshold_68,above_upside_threshold_68,upside_breach_magnitude_68,threshold_90,below_threshold_90,breach_depth_90,upside_threshold_90,above_upside_threshold_90,upside_breach_magnitude_90,threshold_95,below_threshold_95,breach_depth_95,upside_threshold_95,above_upside_threshold_95,upside_breach_magnitude_95,threshold_99,below_threshold_99,breach_depth_99,upside_threshold_99,above_upside_threshold_99,upside_breach_magnitude_99,trade_signal,position_status,entry_price,exit_price,target_price,pnl,running_pnl,current_equity,position_size,shares,next_day_recovery_potential,position_underwater,scaling_opportunity,true_range,prev_day_up,prev_day_down,volatility_regime
2023-06-22 22:00:00,42.464,42.809,42.015,42.209,358139840,43.025,-0.018966,-0.013039,-0.006005,0,1,41.666413,0,0.0,43.478555,0,0.0,39.951112,0,0.0,43.478555,0,0.0,38.970449,0,0.0,43.478555,0,0.0,38.196477,0,0.0,43.478555,0,0.0,,OPEN,43.808,,44.24608,,-98.268254,26919.982245,,,1,1,1,1.01,0,1,High
2023-06-25 22:00:00,42.461,42.764,40.1,40.632,594321920,42.209,-0.037362,0.00597,-0.043075,1,1,40.876179,1,1.838895,42.653953,1,0.260718,39.193411,0,0.0,42.653953,1,0.260718,38.231347,0,0.0,42.653953,1,0.260718,37.472053,0,0.0,42.653953,1,0.260718,,OPEN,43.808,,44.24608,,-195.184474,26919.982245,,,1,1,1,2.664,0,1,High
2023-06-26 22:00:00,40.799,41.94,40.448,41.876,462174700,40.632,0.030616,0.00411,0.026398,1,1,39.348976,0,0.0,41.060329,1,2.16497,37.729078,0,0.0,41.060329,1,2.16497,36.802959,0,0.0,41.060329,1,2.16497,36.072034,0,0.0,41.060329,1,2.16497,,OPEN,43.808,,44.24608,,-118.733124,26919.982245,,,0,1,0,1.492,0,1,High
2023-06-27 22:00:00,40.66,41.845,40.518,41.117,582639270,41.876,-0.018125,-0.029038,0.01124,0,1,40.553694,1,0.085238,42.317443,0,0.0,38.884202,0,0.0,42.317443,0,0.0,37.929728,0,0.0,42.317443,0,0.0,37.176424,0,0.0,42.317443,0,0.0,,OPEN,43.808,,44.24608,,-165.37828,26919.982245,,,1,1,1,1.358,1,0,High
2023-06-28 22:00:00,41.558,41.6,40.6,40.822,380514300,41.117,-0.007175,0.010725,-0.01771,1,1,39.818661,0,0.0,41.550442,1,0.120529,38.179428,0,0.0,41.550442,1,0.120529,37.242254,0,0.0,41.550442,1,0.120529,36.502604,0,0.0,41.550442,1,0.120529,,OPEN,43.808,,44.24608,,-183.507821,26919.982245,,,1,1,1,1.0,0,1,Normal
2023-06-29 22:00:00,41.68,42.55,41.501,42.302,501147750,40.822,0.036255,0.021018,0.014923,1,0,39.532976,0,0.0,41.252332,1,3.178844,37.905504,0,0.0,41.252332,1,3.178844,36.975054,0,0.0,41.252332,1,3.178844,36.240711,0,0.0,41.252332,1,3.178844,,OPEN,43.808,,44.24608,,-92.552839,26919.982245,,,1,1,1,1.728,0,1,Normal
2023-07-02 22:00:00,42.517,42.898,42.202,42.413,198209190,42.302,0.002624,0.005083,-0.002446,1,1,40.966243,0,0.0,42.747934,1,0.35475,39.279766,0,0.0,42.747934,1,0.35475,38.315583,0,0.0,42.747934,1,0.35475,37.554616,0,0.0,42.747934,1,0.35475,,OPEN,43.808,,44.24608,,-85.731216,26919.982245,,,1,1,1,0.696,1,0,Normal
2023-07-04 22:00:00,42.135,43.177,42.085,42.317,323617560,42.413,-0.002263,-0.006555,0.004319,1,1,41.073738,0,0.0,42.860104,1,0.747167,39.382836,0,0.0,42.860104,1,0.747167,38.416122,0,0.0,42.860104,1,0.747167,37.653159,0,0.0,42.860104,1,0.747167,,OPEN,43.808,,44.24608,,-91.630998,26919.982245,,,0,1,0,1.092,1,0,Normal
2023-07-05 22:00:00,41.844,42.179,41.346,42.103,304138790,42.317,-0.005057,-0.011178,0.00619,0,1,40.980769,0,0.0,42.763092,0,0.0,39.293695,0,0.0,42.763092,0,0.0,38.329169,0,0.0,42.763092,0,0.0,37.567933,0,0.0,42.763092,0,0.0,,OPEN,43.808,,44.24608,,-104.782597,26919.982245,,,1,1,1,0.971,0,1,Normal
2023-07-06 22:00:00,42.322,43.214,42.18,42.503,355881470,42.103,0.009501,0.005202,0.004277,1,0,40.773526,0,0.0,42.546836,1,1.5846,39.094984,0,0.0,42.546836,1,1.5846,38.135336,0,0.0,42.546836,1,1.5846,37.377949,0,0.0,42.546836,1,1.5846,,OPEN,43.808,,44.24608,,-80.200169,26919.982245,,,1,1,1,1.111,0,1,Normal
